,name,date,votes,all_votes,winner,win_difference
1822,eric convinces iris and her friend to pose for a painting. (the tigresses from page 900),2018-05-20 23:58:00.342770164+00:00,54,54,True,5
20993,pet daughter 1.75: graduation,2017-11-05 22:28:49.338443329+00:00,53,94,False,0
1453,main characters as kids in a classroom,2018-04-08 20:25:59.081272032+00:00,53,76,False,0
910,another kind/species of keidran we haven't yet seen,2017-09-10 21:45:56.745981717+00:00,53,81,False,0
1617,sketchception: tom live-streaming tom live-streaming tom live-streaming…,2018-04-22 23:54:33.127622235+00:00,53,53,True,9
2045,adira bikini pinup,2018-07-15 20:05:08.221195054+00:00,53,76,False,0
2792,adventurer lady writing in her notebook while unconsciously nomming on the end of her new snow leopard tail.,2018-11-25 23:43:17.363533431+00:00,52,52,True,6
2068,a human attempting to sneak into a wolf keidran village by dressing in a wolf fursuit.,2018-07-15 21:16:41.269612983+00:00,51,92,False,0
2250,everyone at a pool party!,2018-08-19 20:04:45.704316132+00:00,51,79,False,0
19216,seraphina celebrating the year of the dragon,2024-01-08 01:36:42.009038230+00:00,50,50,True,13
57,dragon nibbly,2017-04-09 23:33:42.407810162+00:00,50,82,False,0
2651,holiday party shenanigans. maren catching sythe under the magic mistletoe.,2018-11-12 00:32:55.510927387+00:00,50,50,True,7
16804,a line up of templar ranks in a chart or similar system with some basic notes about the templar hierarchy,2023-06-05 01:03:44.327952449+00:00,50,50,True,9
20733,pet keidran daughter hijinks - her parents tell her she was adopted.,2017-09-25 00:45:17.020158780+00:00,49,49,True,7
744,female characters backside comparison chart,2017-08-13 19:49:13.074221271+00:00,49,78,False,0
17138,"karen learns the hard way to be careful with her new tail, after getting it caught in a door",2023-07-09 23:39:31.692082632+00:00,47,47,True,6
3573,a tigress noble helps guide two male human cartographers to map out the tiger territory!,2019-03-10 21:38:19.250108325+00:00,46,82,False,0
322,eric discovers the internet,2017-05-22 01:01:52.212105333+00:00,46,46,True,1
16135,lynx reed runs her new tribal disguise by captain keiren and some of the guards with  unanticipated reactions.,2023-04-03 01:42:38.267262231+00:00,46,46,True,3
17685,tom's guide on how to draw dragons,2023-08-20 22:49:09.692011422+00:00,46,46,True,13
2744,"winter: sam “trips” into colin’s fluff, leaving one flushed doggo.",2018-11-19 01:53:09.832420605+00:00,46,46,True,14
17271,dragons in space!,2023-07-17 01:01:42.413479811+00:00,45,45,True,6
11685,euchre character sheet,2021-12-19 22:24:51.753033125+00:00,45,45,True,21
16610,"a beefy wolf blacksmith lady forges a magical sword, wondering what sort of war is brewing with the humans.",2023-05-15 02:11:11.189808418+00:00,44,44,True,2
1180,iris & her friend quiz therie about what she has learned,2018-02-18 21:37:15.105538262+00:00,44,44,True,3
17881,adira sweeps the first fallen leaves.,2023-09-10 22:06:58.158942303+00:00,44,44,True,6
11902,reference sheet: master spy edmund sirus templar viii,2022-01-09 23:00:27.859737846+00:00,43,43,True,4
18167,dragons of mekkan (dragon race ref sheet),2023-10-09 02:36:51.552162153+00:00,43,43,True,2
108,"all the main male characters lined up, showing off their physique.",2017-04-16 21:38:56.222254865+00:00,43,83,False,0
2277,the girls playing truth or dare ,2018-08-19 21:45:24.018857630+00:00,43,70,False,0
17308,"sythe is blushing to see maren wearing traditional keidran clothing, which is basically a loincloth for women and a ribbon that covers the upper part of her body.",2023-07-23 23:02:57.266395881+00:00,43,43,True,10
14370,oktoberfest modern trio.,2022-10-03 02:25:17.145142305+00:00,42,42,True,22
20124,the pet daughter goes to school for the first time,2024-03-25 02:39:50.052238878+00:00,42,42,True,18
19842,modern trio walk into an adult shop by mistake and they are all to embarrassed to admit it,2024-03-03 22:44:00.205676426+00:00,42,42,True,4
20554,"the keidran petting game.  concept is simple, a flap you put your hand through and guess the part of and kind of keidran you're petting.  maybe a fluffy tail? paw pad? mouth full of teeth?  chomp!",2024-05-05 22:50:33.443425295+00:00,42,42,True,8
19885,"""you idiots, you caught their stunt doubles!"" therie, daniels, the northern basitin and her rabbit in a templar holding cell",2024-03-04 01:58:14.154575671+00:00,42,42,True,2
1147,a steamy encounter: therie sah-van surprises daniels in the guards' showers.,2018-02-12 01:00:54.622676335+00:00,42,42,True,3
2393,"adventurer at snow leopard village hugs a fluffy tail, causes a diplomatic incident",2018-09-16 21:22:59.399161481+00:00,41,65,False,0
15704,amelia dancing in an exotic dress,2023-03-05 22:20:21.504420778+00:00,41,41,True,0
20440,a paws tutorial would be amazing,2024-04-21 21:51:36.737672931+00:00,41,41,True,2
974,new type: lynx keidran,2017-09-17 22:07:51.372271938+00:00,41,64,False,0
1963,"after the hint in their last sketch, therie & daniels as proud parents.",2018-06-18 02:27:04.858960863+00:00,41,41,True,6
14833,"modern trio skinny dipping in a shallow stream during a hiking trip, unaware of a certain squirrel stealing the clothes they left by the water's edge.",2022-11-14 01:49:06.072165533+00:00,41,41,True,5
13712,"daniels and therie meeting therie's parents with their newborn. both are obviously nervous but therie's mom is overjoyed at the new ""cub"". her dad is showing daniels a skeptical look.",2022-08-08 03:05:02.204731981+00:00,41,41,True,11
13948,the modern trio discovers their fan art.,2022-08-22 00:57:47.177642951+00:00,40,40,True,7
9314,how the artic wolf and northern basitin met and later become a couple.,2021-04-05 02:13:54.680717527+00:00,40,40,True,2
14050,a treehouse in a keidran tiger village.,2022-09-05 02:13:54.298537886+00:00,40,40,True,4
13922,sythe and maren dancing at a club hosted by dj dragon.,2022-08-21 23:34:24.366554256+00:00,40,40,True,7
15529,seraphina reference sheet. ,2023-02-13 01:05:30.225012503+00:00,40,40,True,7
18114,red character sheet.,2023-10-09 00:03:00.758278810+00:00,40,40,True,6
20919,tigress #37 comforts daniels post-battle,2017-10-22 20:13:43.642304198+00:00,39,76,False,0
206,updated bust chart of the gender-bent group,2017-05-09 22:24:49.697449485+00:00,39,39,True,12
14518,lt. alice reed decides to try on the magic collar transforming into a lynx keidran. claiming it'll help with undercover work-she secretly just wanted to have some fun. ,2022-10-17 02:55:10.829750173+00:00,39,39,True,10
