,name,date,votes,winner,win_difference
9897,willow and ghost laura go deep into the woods and meet willow’s “mother”,2021-02-22 04:02:39.443224837+00:00,31,True,1
9933,willow body pillow,2021-03-21 23:42:59.864908997+00:00,5,False,0
9936,willow reference sheet,2021-03-21 23:42:59.864908997+00:00,18,False,0
9977,willow reference sheet,2021-03-22 01:44:51.115335646+00:00,3,False,0
10011,willow reference sheet,2021-04-04 21:41:18.457258680+00:00,25,False,0
10052,willow doesn't understand the concept of easter and begins hunting the easter bunny,2021-04-04 23:29:38.195591395+00:00,1,False,0
10116,willow body pillow,2021-04-05 03:28:28.134953503+00:00,4,False,0
10138,willow reference sheet,2021-04-11 21:16:45.843598864+00:00,5,False,0
10156,willow reference sheet,2021-04-11 23:11:25.683055885+00:00,7,False,0
10168,willow body pillow,2021-04-11 23:11:25.683055885+00:00,2,False,0
10245,willow reference sheet,2021-04-18 21:05:15.593667017+00:00,9,False,0
10277,willow body pillow,2021-04-18 23:58:53.307505069+00:00,1,False,0
10344,willow daki,2021-05-16 21:44:19.145160565+00:00,4,False,0
10456,willow reference sheet,2021-05-17 03:16:19.191226354+00:00,28,True,8
10463,"willow's twitter: willow makes a twitter account, realizes her mistake when she gets her first ""follower"".",2021-05-23 21:41:49.043347096+00:00,40,True,4
10520,willow daki,2021-05-24 02:55:44.451990921+00:00,2,False,0
10553,a young nora meets willow's mother for the first time.,2021-05-24 03:59:46.798944390+00:00,4,False,0
10571,bath time for willow.,2021-05-24 03:59:46.798944390+00:00,1,False,0
10583,willow does chores and finds out her new enemy in life... the vacuum cleaner!,2021-06-06 21:42:44.224671268+00:00,3,False,0
10666,"modern day au laura, kathrin and willow having fun at a night club dance party rave.",2021-06-07 04:25:43.394859826+00:00,27,True,4
10669,willow daki,2021-06-07 04:25:43.394859826+00:00,2,False,0
10729,willow vs vacuum cleaner. hint willow doesn't win. ,2021-06-13 23:15:44.876760374+00:00,8,False,0
10771,willow daki,2021-06-14 01:07:59.270669916+00:00,0,False,0
10822,willow sneezes. willows physical body sneezes out her wisp. ,2021-06-20 21:15:24.791307600+00:00,4,False,0
10843,willow daki,2021-06-20 23:55:06.909045035+00:00,0,False,0
10875,sequel of the nightclub: willow and kathrin paint their bodies with fluorescent neon paint that glows in the dark. (laura seems too shy for this).,2021-06-21 02:11:44.323992664+00:00,19,False,0
10887,modern willow and kat on a roadtrip in a convertible,2021-06-21 02:11:44.323992664+00:00,12,False,0
10914,"modern day au: willow posts a selfie showing her new swimsuit. forgetting she was still in the changing room and also captured the still unclothed laura and kat in the background, still putting their bikinis on. ",2021-06-21 03:57:26.646072361+00:00,32,True,0
10933,willow and laura candlelight dinner,2021-07-04 20:27:06.907783087+00:00,0,False,0
10964,willow daki,2021-07-04 21:50:13.077391783+00:00,0,False,0
10976,nightclub sequel: willow and kathrin have painted their bodies with fluorescent neon paint that glows in the dark. (laura seems too shy for this).,2021-07-04 21:50:13.077391783+00:00,39,True,4
11004,laura and kat discover willow's selfie after it goes viral.  they're very much not amused.,2021-07-05 00:19:17.917947528+00:00,31,True,1
11020,skater kat doing a slide down a stair ramp while laura watches and applaud and willow film to get more... or less followers,2021-07-05 01:31:32.628649464+00:00,3,False,0
11044,"after willow's selfie goes viral, kat and laura decide to do a gaming stream in the nude, hoping to attract more viewers.",2021-07-05 01:31:32.628649464+00:00,2,False,0
11064,"willow, kat, and laura have a swimming race after changing into their swimsuits, clearly laura the river fox should win.",2021-07-11 21:24:48.938744432+00:00,10,False,0
11082,kat uses her capabilities as a seamstress to create and try out clothes on willow,2021-07-11 23:29:12.283586965+00:00,3,False,0
11084,"willow lurking in a pond, her head half above the water and with a frog on her head, like a crocodile about to strike. she then leap-hugs the kat and laura staring at her before dragging them in.",2021-07-11 23:29:12.283586965+00:00,0,False,0
11093,willow’s selfie 3: kat and laura try to cash in on the clout from willow’s selfie by doing a stream completely in the nude. ,2021-07-11 23:29:12.283586965+00:00,2,False,0
11096,"modern au: willow, kathrin and laura went on a kiss concert. as real fans, they naturally wear similar makeup and outfits as the band members.",2021-07-11 23:29:12.283586965+00:00,3,False,0
11113,reni (dragon) is giving kat and willow a ride at the beach when an errant wave results in all three undergoing wardrobe malfunctions with their respective bathing suits.,2021-07-12 01:05:02.860244236+00:00,31,True,2
11115,willow body pillow,2021-07-12 01:05:02.860244236+00:00,4,False,0
11173,kat uses her capabilities as a seamstress to create some clothes for willow,2021-07-18 21:22:56.956436623+00:00,0,False,0
11174,willow's mother in modern day scp containment area.,2021-07-18 21:22:56.956436623+00:00,8,False,0
11180,willow after drinking to much alcohol. doing a little dance.,2021-07-18 21:22:56.956436623+00:00,2,False,0
11194,willow daki,2021-07-18 22:49:52.923570191+00:00,1,False,0
11221,"willow, kat, and laura have a swimming race after changing into their swimsuits, clearly laura the river fox should win.",2021-07-19 00:38:39.758861199+00:00,1,False,0
11234,willow body pillow,2021-07-19 00:38:39.758861199+00:00,1,False,0
11294,willow swimming underwater through the coral reef with laura and kat,2021-09-05 23:04:33.826362502+00:00,2,False,0
